;Id;TA_RULE;TA_COUNTER;TA_TOKEN;TA_LANGUAGE;TA_TYPE;TA_NORMALIZED;TA_STEM;TA_PARAGRAPH;TA_SENTENCE;TA_CREATED_AT;TA_OFFSET;TA_PARENT
329;805545604445327362;Entity Extraction;9;ElectoralCollege;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;97;Error in reading value (type 4): rs.getBigInt(...) is null
339;805545388937740288;Entity Extraction;9;ElectoralCollege;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;97;Error in reading value (type 4): rs.getBigInt(...) is null
349;805545257643442176;Entity Extraction;9;ElectoralCollege;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;97;Error in reading value (type 4): rs.getBigInt(...) is null
365;805546908496240640;Entity Extraction;9;weapon;en;Topic;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;68;8
237;805549420418859008;Entity Extraction;8;watch;en;GeneralRequest;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;95;9
706;805540766433112064;Entity Extraction;8;hearing him;en;Topic;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;72;6
206;805547236868390912;Entity Extraction;8;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;96;Error in reading value (type 4): rs.getBigInt(...) is null
139;805547694949302272;Entity Extraction;8;https://t.co/ks9rbAC6VY;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;115;Error in reading value (type 4): rs.getBigInt(...) is null
606;805540681963827200;Entity Extraction;8;hearing him;en;Topic;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;72;6
598;805543334789992448;Entity Extraction;8;https://t.co/JYKBoImaFW;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;55;Error in reading value (type 4): rs.getBigInt(...) is null
221;805549845633179650;Entity Extraction;8;AuditTheV;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;130;Error in reading value (type 4): rs.getBigInt(...) is null
229;805549461434994688;Entity Extraction;8;https://t.co/IgxdzXHrfW;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;117;Error in reading value (type 4): rs.getBigInt(...) is null
41;805550499382575104;Entity Extraction;8;berniewarren2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;121;Error in reading value (type 4): rs.getBigInt(...) is null
66;805550732762083328;Entity Extraction;8;TrumpWon;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;69;Error in reading value (type 4): rs.getBigInt(...) is null
686;805541314427166720;Entity Extraction;8;TrojanHorse;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;2;2;Mon, 05 Dec 2016 05:19:07 GMT;122;Error in reading value (type 4): rs.getBigInt(...) is null
575;805540636640165888;Entity Extraction;8;TrumpWon;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;69;Error in reading value (type 4): rs.getBigInt(...) is null
248;805548912534847488;Entity Extraction;8;#Recount2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;110;Error in reading value (type 4): rs.getBigInt(...) is null
53;805548441875136512;Entity Extraction;8;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;4;Mon, 05 Dec 2016 05:19:06 GMT;107;Error in reading value (type 4): rs.getBigInt(...) is null
567;805540939716501504;Entity Extraction;8;NeverTrump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;130;Error in reading value (type 4): rs.getBigInt(...) is null
268;805546691751358464;Entity Extraction;8;https://t.co/jp9gqA0GZ7;en;URI/URL;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;114;Error in reading value (type 4): rs.getBigInt(...) is null
504;805541119052288000;Entity Extraction;8;Global Politics;en;PROP_MISC;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;107;Error in reading value (type 4): rs.getBigInt(...) is null
496;805543618085720064;Entity Extraction;8;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;106;Error in reading value (type 4): rs.getBigInt(...) is null
674;805541363345461248;Entity Extraction;8;hearing him;en;Topic;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;72;6
486;805543213331312640;Entity Extraction;8;Inc;en;SOCIAL_MEDIA/ID_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;111;Error in reading value (type 4): rs.getBigInt(...) is null
309;805545663450808322;Entity Extraction;8;JillStein;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;78;Error in reading value (type 4): rs.getBigInt(...) is null
166;805549985353891845;Entity Extraction;8;fair;en;Sentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;92;Error in reading value (type 4): rs.getBigInt(...) is null
467;805543850316070912;Entity Extraction;8;https://t.co/PR6pMl1Yw4;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
328;805545604445327362;Entity Extraction;8;Denial;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;89;Error in reading value (type 4): rs.getBigInt(...) is null
111;805547865246461953;Entity Extraction;8;#election;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;109;Error in reading value (type 4): rs.getBigInt(...) is null
443;805544067597828096;Entity Extraction;8;https://t.co/Z19tm;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;121;Error in reading value (type 4): rs.getBigInt(...) is null
338;805545388937740288;Entity Extraction;8;Denial;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;89;Error in reading value (type 4): rs.getBigInt(...) is null
182;805548731135381504;Entity Extraction;8;US;en;COUNTRY;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;113;Error in reading value (type 4): rs.getBigInt(...) is null
435;805544401833488385;Entity Extraction;8;https://t.co/JYKBoImaFW;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;55;Error in reading value (type 4): rs.getBigInt(...) is null
348;805545257643442176;Entity Extraction;8;Denial;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;89;Error in reading value (type 4): rs.getBigInt(...) is null
381;805546599908679680;Entity Extraction;8;https://t.co/jp9gqA0GZ7;en;URI/URL;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;114;Error in reading value (type 4): rs.getBigInt(...) is null
364;805546908496240640;Entity Extraction;8;deadly weapon;en;Sentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;61;Error in reading value (type 4): rs.getBigInt(...) is null
632;805541178670280704;Entity Extraction;8;hillaryclinton;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;116;Error in reading value (type 4): rs.getBigInt(...) is null
191;805547617744605184;Entity Extraction;8;Independent;en;SOCIAL_MEDIA/ID_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;92;Error in reading value (type 4): rs.getBigInt(...) is null
410;805545048452513792;Entity Extraction;8;TrumpWon;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;69;Error in reading value (type 4): rs.getBigInt(...) is null
13;805547517291151361;Entity Extraction;7;NeverTrump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;115;Error in reading value (type 4): rs.getBigInt(...) is null
236;805549420418859008;Entity Extraction;7;right on target;en;WeakPositiveSentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;73;6
110;805547865246461953;Entity Extraction;7;#voting;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;99;Error in reading value (type 4): rs.getBigInt(...) is null
673;805541363345461248;Entity Extraction;7;love;en;StrongPositiveSentiment;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;67;6
165;805549985353891845;Entity Extraction;7;fair;en;WeakPositiveSentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;92;8
31;805547502736916480;Entity Extraction;7;NeverTrump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;115;Error in reading value (type 4): rs.getBigInt(...) is null
574;805540636640165888;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;55;Error in reading value (type 4): rs.getBigInt(...) is null
247;805548912534847488;Entity Extraction;7;need;en;GeneralRequest;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;94;5
118;805550304586596358;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;126;Error in reading value (type 4): rs.getBigInt(...) is null
660;805542390861680640;Entity Extraction;7;#SocialMedia;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;2;2;Mon, 05 Dec 2016 05:19:07 GMT;115;Error in reading value (type 4): rs.getBigInt(...) is null
648;805540933198639104;Entity Extraction;7;election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;117;Error in reading value (type 4): rs.getBigInt(...) is null
566;805540939716501504;Entity Extraction;7;election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;116;Error in reading value (type 4): rs.getBigInt(...) is null
548;805542193574219777;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;121;Error in reading value (type 4): rs.getBigInt(...) is null
267;805546691751358464;Entity Extraction;7;speed-up request;en;NOUN_GROUP;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;79;Error in reading value (type 4): rs.getBigInt(...) is null
181;805548731135381504;Entity Extraction;7;disregard;en;WeakNegativeSentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;93;5
278;805546328738725889;Entity Extraction;7;IACaucus;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;93;Error in reading value (type 4): rs.getBigInt(...) is null
125;805549812959629312;Entity Extraction;7;https://t.co/L35gfqm1al;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;106;Error in reading value (type 4): rs.getBigInt(...) is null
285;805546326339551232;Entity Extraction;7;IACaucus;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;93;Error in reading value (type 4): rs.getBigInt(...) is null
503;805541119052288000;Entity Extraction;7;Multiculturalism;en;Topic;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;81;6
40;805550499382575104;Entity Extraction;7;TrumpACandy;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;108;Error in reading value (type 4): rs.getBigInt(...) is null
495;805543618085720064;Entity Extraction;7;DonaldTrump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;93;Error in reading value (type 4): rs.getBigInt(...) is null
65;805550732762083328;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;55;Error in reading value (type 4): rs.getBigInt(...) is null
190;805547617744605184;Entity Extraction;7;altright;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;82;Error in reading value (type 4): rs.getBigInt(...) is null
485;805543213331312640;Entity Extraction;7;https://t.co/bLXMswREO1;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;86;Error in reading value (type 4): rs.getBigInt(...) is null
301;805546002920960001;Entity Extraction;7;https://t.co/p6HheXy8gD;en;URI/URL;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
474;805543752190361601;Entity Extraction;7;@NAACP;en;SOCIAL_MEDIA/ID_TWITTER;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;125;Error in reading value (type 4): rs.getBigInt(...) is null
308;805545663450808322;Entity Extraction;7;Hillary;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;69;Error in reading value (type 4): rs.getBigInt(...) is null
705;805540766433112064;Entity Extraction;7;love;en;StrongPositiveSentiment;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;67;6
138;805547694949302272;Entity Extraction;7;https://t.co/mT5ywPQZ4W;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
631;805541178670280704;Entity Extraction;7;election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;102;Error in reading value (type 4): rs.getBigInt(...) is null
466;805543850316070912;Entity Extraction;7;Criticism;en;Topic;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;81;4
320;805545660300795904;Entity Extraction;7;https://t.co/LR4tWynaJs;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;72;Error in reading value (type 4): rs.getBigInt(...) is null
450;805544291993092096;Entity Extraction;7;https://t.co/zi7GCVQTyF;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;60;Error in reading value (type 4): rs.getBigInt(...) is null
327;805545604445327362;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;74;Error in reading value (type 4): rs.getBigInt(...) is null
624;805541944403165184;Entity Extraction;7;https://t.co/wR0Ar6xdvL;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;107;Error in reading value (type 4): rs.getBigInt(...) is null
205;805547236868390912;Entity Extraction;7;https://t.co/JeQtP8I9UO;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;71;Error in reading value (type 4): rs.getBigInt(...) is null
380;805546599908679680;Entity Extraction;7;speed-up request;en;NOUN_GROUP;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;79;Error in reading value (type 4): rs.getBigInt(...) is null
442;805544067597828096;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;108;Error in reading value (type 4): rs.getBigInt(...) is null
337;805545388937740288;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;74;Error in reading value (type 4): rs.getBigInt(...) is null
52;805548441875136512;Entity Extraction;7;5:13;en;TIME;;;1;4;Mon, 05 Dec 2016 05:19:06 GMT;101;Error in reading value (type 4): rs.getBigInt(...) is null
146;805547566955974660;Entity Extraction;7;Hillary2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;115;Error in reading value (type 4): rs.getBigInt(...) is null
605;805540681963827200;Entity Extraction;7;love;en;StrongPositiveSentiment;;;1;2;Mon, 05 Dec 2016 05:19:07 GMT;67;6
434;805544401833488385;Entity Extraction;7;#Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;41;Error in reading value (type 4): rs.getBigInt(...) is null
347;805545257643442176;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;74;Error in reading value (type 4): rs.getBigInt(...) is null
78;805549998385627136;Entity Extraction;7;https://t.co/LR4tWynaJs;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;72;Error in reading value (type 4): rs.getBigInt(...) is null
220;805549845633179650;Entity Extraction;7;Recount;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;121;Error in reading value (type 4): rs.getBigInt(...) is null
427;805545039854059521;Entity Extraction;7;https://t.co/ddY5ZuKfSY;en;URI/URL;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;101;Error in reading value (type 4): rs.getBigInt(...) is null
420;805545040911200257;Entity Extraction;7;IACaucus;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;93;Error in reading value (type 4): rs.getBigInt(...) is null
363;805546908496240640;Entity Extraction;7;deadly;en;NeutralSentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;61;8
685;805541314427166720;Entity Extraction;7;:);en;WeakPositiveEmoticon;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;117;1
597;805543334789992448;Entity Extraction;7;#Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;41;Error in reading value (type 4): rs.getBigInt(...) is null
228;805549461434994688;Entity Extraction;7;TheSocReview;en;SOCIAL_MEDIA/ID_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;104;Error in reading value (type 4): rs.getBigInt(...) is null
91;805549476177973249;Entity Extraction;7;https://t.co/LR4tWynaJs;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;72;Error in reading value (type 4): rs.getBigInt(...) is null
409;805545048452513792;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;55;Error in reading value (type 4): rs.getBigInt(...) is null
585;805540099803021316;Entity Extraction;7;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;125;Error in reading value (type 4): rs.getBigInt(...) is null
565;805540939716501504;Entity Extraction;6;https://t.co/dX8cm3QY0X;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;91;Error in reading value (type 4): rs.getBigInt(...) is null
556;805543401944993792;Entity Extraction;6;https://t.co/5byNPq2lGP;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;105;Error in reading value (type 4): rs.getBigInt(...) is null
137;805547694949302272;Entity Extraction;6;Justice;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;83;Error in reading value (type 4): rs.getBigInt(...) is null
547;805542193574219777;Entity Extraction;6;BillHemmer;en;SOCIAL_MEDIA/ID_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;109;Error in reading value (type 4): rs.getBigInt(...) is null
266;805546691751358464;Entity Extraction;6;#Stein;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;72;Error in reading value (type 4): rs.getBigInt(...) is null
189;805547617744605184;Entity Extraction;6;trump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;75;Error in reading value (type 4): rs.getBigInt(...) is null
84;805549548106121216;Entity Extraction;6;https://t.co/1VI8mmMP51;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;98;Error in reading value (type 4): rs.getBigInt(...) is null
531;805541568388169729;Entity Extraction;6;https://t.co/PVjSuZ6j7S;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;113;Error in reading value (type 4): rs.getBigInt(...) is null
277;805546328738725889;Entity Extraction;6;BernieSanders;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;78;Error in reading value (type 4): rs.getBigInt(...) is null
90;805549476177973249;Entity Extraction;6;Charolette;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;61;Error in reading value (type 4): rs.getBigInt(...) is null
693;805541012244303872;Entity Extraction;6;@dailysentinel;en;SOCIAL_MEDIA/ID_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;121;Error in reading value (type 4): rs.getBigInt(...) is null
284;805546326339551232;Entity Extraction;6;BernieSanders;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;78;Error in reading value (type 4): rs.getBigInt(...) is null
12;805547517291151361;Entity Extraction;6;HillaryClinton;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;99;Error in reading value (type 4): rs.getBigInt(...) is null
630;805541178670280704;Entity Extraction;6;https://t.co/uwGwXrM8HE;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;77;Error in reading value (type 4): rs.getBigInt(...) is null
502;805541119052288000;Entity Extraction;6;Crisis of Multiculturalism;en;Sentiment;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;71;Error in reading value (type 4): rs.getBigInt(...) is null
198;805547354526982144;Entity Extraction;6;https://t.co/v2bgjeJyn9;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;104;Error in reading value (type 4): rs.getBigInt(...) is null
145;805547566955974660;Entity Extraction;6;HillaryClinton;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;99;Error in reading value (type 4): rs.getBigInt(...) is null
494;805543618085720064;Entity Extraction;6;HillaryClinton;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;77;Error in reading value (type 4): rs.getBigInt(...) is null
623;805541944403165184;Entity Extraction;6;Election2016;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;93;Error in reading value (type 4): rs.getBigInt(...) is null
204;805547236868390912;Entity Extraction;6;the hardest-hit manufacturing communities;en;Topic;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;29;4
97;805548756804530176;Entity Extraction;6;https://t.co/QWVMp6veOI;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;92;Error in reading value (type 4): rs.getBigInt(...) is null
300;805546002920960001;Entity Extraction;6;Hillary Supporters;en;PERSON;;;1;2;Mon, 05 Dec 2016 05:19:06 GMT;71;Error in reading value (type 4): rs.getBigInt(...) is null
103;805547991436238848;Entity Extraction;6;https://t.co/6X9BbFCVVu;en;URI/URL;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;94;Error in reading value (type 4): rs.getBigInt(...) is null
484;805543213331312640;Entity Extraction;6;Reports;en;Topic;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;67;5
109;805547865246461953;Entity Extraction;6;worth spending w/@mcrispinmiller re:the state;en;Sentiment;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;46;Error in reading value (type 4): rs.getBigInt(...) is null
307;805545663450808322;Entity Extraction;6;Recount;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;60;Error in reading value (type 4): rs.getBigInt(...) is null
684;805541314427166720;Entity Extraction;6;#Trump;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:07 GMT;92;Error in reading value (type 4): rs.getBigInt(...) is null
39;805550499382575104;Entity Extraction;6;BernieOrBust;en;SOCIAL_MEDIA/TOPIC_TWITTER;;;1;1;Mon, 05 Dec 2016 05:19:06 GMT;94;Error in reading value (type 4): rs.getBigInt(...) is null
